Bermuda Year,Bermuda pH,Bermuda pCO2
1983.6959,8.07,363.187
1983.7726,8.088,343.941
1984.0712,8.146,299.199
1984.1836,8.145,301.419
1984.326,8.144,302.309
1984.4877,8.112,327.279
1984.5589,8.031,406.914
1984.6219,8.038,397.747
1984.6932,8.086,350.505
1984.7534,8.091,346.313
1984.8767,8.131,311.384
1984.9607,8.148,297.873
1985.0976,8.149,299.211
1985.1168,8.149,299.024
1985.2017,8.14,305.941
1985.2758,8.144,302.23
1985.3306,8.138,307.027
1985.4814,8.061,376.281
1985.5551,8.059,377.577
1985.6483,8.056,379.365
1985.7853,8.102,333.83
1985.8509,8.102,334.496
1985.9279,8.132,310.511
1986.0921,8.146,300.437
1986.2595,8.154,294.156
1986.3222,8.15,297.669
1986.4071,8.135,310.109
1986.514,8.073,363.177
1986.651,8.06,374.178
1986.7276,8.097,337.306
1986.8456,8.122,318.152
1986.8895,8.122,318.098
1987.0595,8.145,301.544
1987.1797,8.147,300.903
1987.2372,8.149,299.481
1987.3058,8.142,305.293
1987.399,8.116,325.106
1987.484,8.084,353.438
1987.5443,8.056,379.998
1987.6539,8.085,351.335
1987.7991,8.09,343.966
1987.8621,8.108,329.825
1987.9224,8.137,306.591
1988.067,8.148,298.881
1988.185,8.146,302.053
1988.36,8.11,330.327
1988.4478,8.102,338.259
1988.5518,8.059,377.074
1988.6449,8.062,371.738
1988.7195,8.08,352.817
1988.8069,8.126,313.947
1988.8181,8.096,341.125
1988.8992,8.143,298.698
1988.9692,8.141,303.364
1989.0783,8.181,272.018
1989.1412,8.177,275.837
1989.2315,8.154,293.406
1989.295,8.133,310.89
1989.3737,8.112,328.879
1989.4754,8.069,369.479
1989.55,8.068,366.841
1989.6255,8.101,336.829
1989.8041,8.113,324.45
1989.909,8.111,330.513
1989.9697,8.123,320.876
1990.0456,8.134,310.976
1990.1299,8.137,309.146
1990.201,8.135,311.892
1990.297,8.123,319.539
1990.3547,8.134,311.483
1990.4758,8.093,345.181
1990.5434,8.05,386.612
1990.6181,8.064,371.723
1990.6948,8.056,378.606
1990.7876,8.101,336.677
1990.8455,8.116,324.431
1990.925,8.136,308.284
1991.045,8.14,305.702
1991.117,8.133,312.719
1991.1972,8.141,307.172
1991.292,8.13,315.623
1991.3664,8.129,316.456
1991.4678,8.082,357.115
1991.5388,8.059,377.815
1991.6155,8.04,397.842
1991.6998,8.093,342.844
1991.769,8.087,350.555
1991.865,8.122,318.308
1991.9415,8.14,305.597
1992.0257,8.14,306.699
1992.1214,8.113,328.203
1992.1925,8.144,303.035
1992.3071,8.139,308.296
1992.3818,8.099,342.914
1992.4628,8.087,351.755
1992.5366,8.053,383.795
1992.6328,8.045,391.882
1992.7087,8.07,364.511
1992.7852,8.098,338.204
1992.8642,8.111,329.129
1992.9333,8.132,311.524
1993.0325,8.15,297.288
1993.1078,8.148,299.643
1993.1521,8.139,307.766
1993.1879,8.131,315.272
1993.2424,8.129,316.676
1993.2838,8.132,313.808
1993.3191,8.133,312.729
1993.3521,8.112,330.655
1993.4538,8.084,355.784
1993.5303,8.04,400.698
1993.628,8.052,385.424
1993.7028,8.066,368.958
1993.7794,8.086,350.267
1993.8561,8.093,345.125
1993.9329,8.115,325.349
1994.0316,8.144,301.926
1994.1329,8.139,307.764
1994.2176,8.139,308.092
1994.2617,8.131,314.027
1994.2973,8.136,310.37
1994.3739,8.105,335.854
1994.4508,8.066,371.043
1994.5466,8.027,412.287
1994.6233,8.03,407.573
1994.7193,8.07,364.532
1994.7986,8.109,329.062
1994.8726,8.119,322.844
1994.9385,8.122,320.496
1995.0288,8.132,313.074
1995.0316,8.121,323.66
1995.1219,8.131,315.846
1995.2042,8.137,310.366
1995.2753,8.134,313.388
1995.3193,8.119,326.526
1995.3576,8.141,306.127
1995.448,8.065,375.336
1995.5248,8.055,382.873
1995.64,8.067,370.898
1995.7,8.063,374.666
1995.7822,8.07,367.594
1995.8614,8.106,333.361
1995.9546,8.123,319.719
1996.0809,8.133,313.88
1996.1248,8.124,320.82
1996.1604,8.124,322.301
1996.2016,8.13,316.32
1996.2371,8.127,318.889
1996.27,8.126,319.283
1996.3083,8.121,324.588
1996.3466,8.106,337.276
1996.4425,8.069,369.25
1996.5193,8.055,380.959
1996.5959,8.058,377.863
1996.6728,8.048,388.399
1996.7713,8.076,361.031
1996.848,8.102,336.893
1996.9467,8.118,323.498
1997.0371,8.139,308.444
1997.0754,8.129,317.182
1997.1029,8.132,314.244
1997.1411,8.123,322.378
1997.1741,8.122,323.146
1997.2123,8.133,313.57
1997.2699,8.122,323.446
1997.3439,8.122,323.302
1997.4425,8.087,352.771
1997.5384,8.047,390.926
1997.6125,8.041,399.086
1997.6974,8.072,364.85
1997.7662,8.07,364.266
1997.8649,8.105,334.27
1997.9389,8.109,331.866
1998.0346,8.121,322.503
1998.117,8.13,315.981
1998.1609,8.123,322.573
1998.1934,8.127,317.543
1998.2292,8.127,317.621
1998.2647,8.117,327.143
1998.3415,8.116,327.834
1998.4181,8.082,357.49
1998.514,8.033,403.964
1998.6099,8.023,414.363
1998.6922,8.04,394.244
1998.8072,8.09,346.426
1998.879,8.102,337.318
1998.9359,8.115,326.478
1999.041,8.112,328.797
1999.1166,8.13,315.599
1999.2116,8.112,330.333
1999.2235,8.147,300.619
1999.2646,8.115,328.643
1999.3386,8.099,342.804
1999.4156,8.071,369.348
1999.5112,8.046,394.18
1999.5879,8.038,401.924
1999.7056,8.05,386.064
1999.7795,8.076,360.925
1999.8593,8.095,343.541
1999.9388,8.11,331.625
2000.0784,8.118,326.75
2000.1249,8.131,314.937
2000.199,8.14,307.334
2000.2369,8.131,315.381
2000.2755,8.138,309.452
2000.3549,8.091,350.4
2000.4289,8.068,371.738
2000.5247,8.062,375.259
2000.6016,8.029,409.254
2000.7003,8.067,366.967
2000.7962,8.085,353.754
2000.8702,8.105,335.171
2000.9469,8.113,328.719
2001.0811,8.134,312.308
2001.1387,8.117,326.821
2001.1851,8.119,326.188
2001.2154,8.107,335.792
2001.2567,8.092,349.071
2001.2947,8.125,321.731
2001.369,8.103,340.335
2001.4262,8.07,370.787
2001.5439,8.07,366.934
2001.5987,8.05,387.439
2001.6974,8.062,374.657
2001.7906,8.088,350.235
2001.8564,8.11,330.165
2001.9441,8.116,326.493
2002.06,8.121,322.722
2002.1583,8.137,311.05
2002.2126,8.119,325.779
2002.2892,8.134,312.392
2002.3659,8.121,322.704
2002.4235,8.077,361.735
2002.5002,8.037,403.795
2002.6344,8.042,394.032
2002.7111,8.054,379.338
2002.7687,8.082,352.971
2002.8674,8.091,347.419
2002.9414,8.12,322.688
2003.1414,8.129,317.086
2003.1715,8.134,312.712
2003.2181,8.132,315.082
2003.2537,8.132,314.763
2003.3086,8.114,329.397
2003.3851,8.07,371.268
2003.5085,8.044,395.345
2003.5386,8.032,407.213
2003.6152,8.029,411.266
2003.7194,8.049,389.192
2003.7686,8.047,389.189
2003.8455,8.088,350.026
2003.9222,8.081,357.609
2004.0754,8.129,316.906
2004.125,8.129,317.056
2004.1491,8.121,324.213
2004.1885,8.122,323.788
2004.2242,8.104,339.45
2004.2665,8.114,331.507
2004.3076,8.111,332.785
2004.3813,8.075,366.432
2004.4578,8.079,362.139
2004.5371,8.034,407.558
2004.6299,8.027,413.179
2004.7064,8.04,398.224
2004.7857,8.071,367.62
2004.865,8.09,350.175
2004.9361,8.098,343.38
2005.0728,8.1,343.391
2005.1057,8.12,325.815
2005.1496,8.117,329.053
2005.1824,8.123,323.918
2005.2181,8.12,326.433
